Wav File: 1/164 | Errors: (1, 0, 1) | Transcription Length: 17
Wav File: 115/164 | Errors: (0, 8, 0) | Transcription Length: 8
Wav File: 116/164 | Errors: (2, 0, 1) | Transcription Length: 3
Wav File: 117/164 | Errors: (6, 0, 1) | Transcription Length: 9
Wav File: 118/164 | Errors: (2, 0, 3) | Transcription Length: 4
Wav File: 119/164 | Errors: (3, 0, 2) | Transcription Length: 8
Wav File: 120/164 | Errors: (1, 3, 0) | Transcription Length: 4
Wav File: 121/164 | Errors: (0, 1, 1) | Transcription Length: 3
Wav File: 122/164 | Errors: (1, 0, 1) | Transcription Length: 4
Wav File: 123/164 | Errors: (0, 0, 1) | Transcription Length: 4
Wav File: 124/164 | Errors: (3, 0, 1) | Transcription Length: 6
Wav File: 125/164 | Errors: (2, 0, 2) | Transcription Length: 5
Wav File: 126/164 | Errors: (0, 0, 1) | Transcription Length: 3
Wav File: 127/164 | Errors: (2, 0, 2) | Transcription Length: 4
Wav File: 128/164 | Errors: (0, 5, 0) | Transcription Length: 5
Wav File: 129/164 | Errors: (1, 0, 1) | Transcription Length: 3
Wav File: 130/164 | Errors: (2, 1, 3) | Transcription Length: 8
Wav File: 131/164 | Errors: (2, 0, 3) | Transcription Length: 9
Wav File: 132/164 | Errors: (1, 0, 3) | Transcription Length: 5
Wav File: 133/164 | Errors: (0, 0, 1) | Transcription Length: 2
Wav File: 134/164 | Errors: (1, 0, 2) | Transcription Length: 3
Wav File: 135/164 | Errors: (2, 0, 2) | Transcription Length: 5
Wav File: 136/164 | Errors: (2, 0, 1) | Transcription Length: 7
Wav File: 137/164 | Errors: (0, 0, 1) | Transcription Length: 6
Wav File: 138/164 | Errors: (3, 0, 2) | Transcription Length: 5
Wav File: 139/164 | Errors: (2, 0, 1) | Transcription Length: 6
Wav File: 140/164 | Errors: (2, 3, 2) | Transcription Length: 8
Wav File: 141/164 | Errors: (6, 0, 3) | Transcription Length: 8
Wav File: 142/164 | Errors: (4, 1, 2) | Transcription Length: 8
Wav File: 143/164 | Errors: (3, 0, 1) | Transcription Length: 9
Wav File: 144/164 | Errors: (3, 1, 1) | Transcription Length: 8
Wav File: 145/164 | Errors: (2, 1, 0) | Transcription Length: 8
Wav File: 146/164 | Errors: (3, 0, 5) | Transcription Length: 9
Wav File: 147/164 | Errors: (0, 0, 1) | Transcription Length: 3
Wav File: 148/164 | Errors: (1, 0, 3) | Transcription Length: 3
Wav File: 149/164 | Errors: (1, 0, 4) | Transcription Length: 4
Wav File: 150/164 | Errors: (1, 0, 0) | Transcription Length: 6
Wav File: 151/164 | Errors: (0, 1, 0) | Transcription Length: 6
Wav File: 152/164 | Errors: (0, 0, 1) | Transcription Length: 9
Wav File: 153/164 | Errors: (1, 0, 1) | Transcription Length: 5
Wav File: 154/164 | Errors: (2, 0, 0) | Transcription Length: 8
Wav File: 155/164 | Errors: (2, 0, 1) | Transcription Length: 8
Wav File: 156/164 | Errors: (1, 0, 1) | Transcription Length: 5
Wav File: 157/164 | Errors: (3, 0, 3) | Transcription Length: 4
Wav File: 158/164 | Errors: (2, 0, 2) | Transcription Length: 9
Wav File: 159/164 | Errors: (2, 1, 0) | Transcription Length: 8
Wav File: 160/164 | Errors: (1, 0, 1) | Transcription Length: 9
Wav File: 161/164 | Errors: (3, 0, 3) | Transcription Length: 8
Wav File: 162/164 | Errors: (2, 1, 3) | Transcription Length: 9
Wav File: 163/164 | Errors: (4, 0, 3) | Transcription Length: 7
Wav File: 164/164 | Errors: (3, 0, 3) | Transcription Length: 8
Total WER: 0.46345811051693403
Average decode() Time: 2.750151456975401
Average backtrace() Time: 0.0001934629399329424
FST Number of States: 129
FST Number of Arcs: 466
Number of Insertion Errors: 252
Number of Deletion Errors: 76
Number of Substitution Errors: 192
